Name,Year,Season,BMI
aglaro,2021,summer,21.55582
aglaro,2022,spring,23.365473
aglaro,2022,summer,18.117504
agresivoo,2018,spring,19.63997
agresivoo,2019,spring,23.051826000000002
agresivoo,2019,summer,19.53037
agresivoo,2021,spring,21.158358
agresivoo,2022,summer,24.407185000000002
agurin,2019,spring,20.387362
agurin,2019,summer,21.772535
agurin,2020,spring,27.72036
ahahacik,2018,spring,16.602276
ahahacik,2018,summer,13.618382999999998
ahahacik,2019,spring,18.797422
ahahacik,2019,summer,21.741901000000002
ahahacik,2020,summer,16.546238
ahahacik,2021,spring,19.084754999999998
ahahacik,2022,spring,28.097328000000005
ahahacik,2023,spring,22.587989999999998
ahn,2020,spring,21.598024
ahn,2020,summer,21.488098
ahn,2021,spring,18.3219
ahn,2021,summer,22.962532
ahn,2022,spring,18.879202
ahn,2023,spring,19.729513
aiming,2018,spring,18.422314
aiming,2018,summer,18.813879
aiming,2019,spring,20.668182
aiming,2019,summer,23.772673
aiming,2020,spring,23.371721
aiming,2020,summer,24.1141
aiming,2021,spring,21.958334
aiming,2021,summer,24.308007999999997
aiming,2022,summer,24.642874
aiming,2023,spring,25.19869
air (shenghao he),2022,summer,20.617770999999998
air (shenghao he),2023,spring,24.508438
aix,2018,spring,19.606424
aix,2018,summer,18.671426999999998
aix,2019,spring,25.805495999999998
aix,2019,summer,26.605682
aix,2020,spring,23.002584
aix,2020,summer,28.758862
aix,2021,spring,24.310406
aix,2021,summer,26.139482
aix,2022,summer,20.856903
aizhon,2020,spring,28.720685999999997
aizhon,2020,summer,24.166906
aizhon,2022,spring,20.090656
ak (li ming-chao),2016,summer,19.837505
ak (zhou kun),2018,spring,16.835003
ak (zhou kun),2018,summer,17.932679999999998
ak (zhou kun),2019,spring,18.74019
ak (zhou kun),2019,summer,17.31531
ak (zhou kun),2020,summer,18.358598999999998
akaadian,2016,spring,20.776101999999998
akaadian,2016,summer,18.912487
akaadian,2017,spring,18.97834
akaadian,2018,spring,15.807413
akaadian,2018,summer,15.139039000000002
akaadian,2019,spring,15.783429
akaadian,2019,summer,18.546839000000002
akaadian,2020,spring,17.28248
akaadian,2020,summer,19.522679999999998
akaadian,2021,spring,16.011614
akaadian,2022,summer,18.863108
akabane,2021,summer,23.556849
akabane,2022,spring,22.484013
akabane,2022,summer,17.543947
akaman,2018,spring,20.34101
akaman,2018,summer,21.351072
akaman,2019,summer,21.311947
aki (mao an),2018,summer,15.634014
aki (mao an),2019,spring,20.453218
aki (mao an),2019,summer,15.901085
aki (mao an),2020,spring,15.526788
aki (mao an),2020,summer,23.514505
aki (mao an),2021,spring,15.44745
aki (mao an),2021,summer,19.133184
aki (mao an),2022,spring,20.962623999999998
aki (mao an),2023,spring,17.299221
akira (wang zu-jing),2015,summer,23.942133
akira (wang zu-jing),2016,summer,17.703697000000002
akko,2022,summer,19.899143
akre,2023,spring,23.965498
alan,2022,spring,16.211369
alby,2019,summer,18.510738
alby,2020,spring,20.028412
alby,2020,summer,19.32147
alby,2021,summer,21.49267
alby,2022,spring,25.189692
alby,2022,summer,24.865366
alby,2023,spring,20.860657
ale,2018,summer,20.656195
ale,2019,spring,23.314703
ale,2019,summer,21.554356
ale,2020,spring,17.123835
ale,2020,summer,22.69173
ale,2021,spring,21.325571
ale,2021,summer,22.132816000000002
ale,2022,spring,15.484825
ale,2023,spring,21.178354000000002
alexandazar,2022,summer,16.475487
alexx,2021,spring,16.447529
alexx,2021,summer,21.694416
alexx,2022,spring,22.061982999999998
alexx,2022,summer,16.236458
alexx,2023,spring,18.984926
algos,2019,spring,21.557123
algos,2019,summer,25.718206
ali (liu xu-dong),2016,summer,14.737993
ali (liu xu-dong),2017,spring,16.009655
alielie,2018,spring,20.83577
alielie,2019,spring,21.058582
alielie,2019,summer,20.763601
alielie,2020,summer,24.624018
alielie,2021,spring,19.85874
alien (huang yu-tao),2018,spring,19.434547
aliez (huang hao),2019,spring,22.54327
aliez (huang hao),2019,summer,22.727543
aliez (huang hao),2020,spring,19.585722
aliez (huang hao),2020,summer,23.900002999999998
aliez (huang hao),2021,spring,24.248743
aliez (huang hao),2021,summer,20.70692
aliez (huang hao),2022,spring,25.963307999999998
aliplane,2023,spring,20.013203
alive,2018,spring,25.015135
alive,2018,summer,26.117743
alive,2019,spring,26.581114000000003
alive,2019,summer,22.803066
alive,2021,spring,24.161097
alleex,2022,summer,22.743591000000002
allorim,2017,spring,19.482122
allorim,2018,spring,33.771236
allorim,2018,summer,24.842685999999997
allorim,2019,spring,26.446644
allorim,2019,summer,24.03893
allorim,2020,spring,30.374975
alois,2020,spring,18.022669
alois,2020,summer,20.524015
alois,2021,spring,17.669408999999998
alois,2022,spring,18.018919
alone (wang zi-jun),2016,summer,20.611942000000003
alone (wang zi-jun),2017,spring,25.8668
alone (wang zi-jun),2017,summer,22.470991
alone (wang zi-jun),2018,spring,26.951211999999998
alone (wang zi-jun),2018,summer,17.499758
along (long hong-zhou),2021,spring,17.869001
alphamong,2017,spring,23.714814999999998
alphamong,2018,summer,25.431597
alphamong,2020,spring,27.682018
alphamong,2020,summer,33.362809999999996
alphari,2016,summer,17.750778
alphari,2017,spring,16.821993
alphari,2017,summer,16.907812
alphari,2018,spring,16.881275
alphari,2018,summer,18.073679000000002
alphari,2019,spring,18.983725
alphari,2019,summer,21.380203
alphari,2020,spring,19.16208
alphari,2020,summer,23.106207
alphari,2021,spring,20.01051
alphari,2021,summer,20.036325
alphari,2022,spring,19.961876
alphari,2022,summer,23.173952
altec,2015,spring,14.141779999999999
altec,2015,summer,14.795638
altec,2016,spring,17.900013
altec,2016,summer,17.649373999999998
altec,2017,spring,14.867010999999998
altec,2018,spring,16.659079000000002
altec,2018,summer,15.850797
altec,2020,spring,16.703318
alternative,2018,spring,16.801802
alternative,2019,spring,20.360945
alternative,2019,summer,16.627786999999998
alternative,2020,spring,18.048424
alu,2018,spring,22.980688
alu,2018,summer,22.881495
alu,2019,spring,23.434444
alu,2019,summer,23.468967000000003
alu,2020,spring,22.21026
alu,2020,summer,26.585520000000002
alu,2021,summer,19.45341
alu,2023,spring,20.521053
aluka,2016,spring,21.335285
alun,2018,spring,26.591064000000003
alun,2018,summer,25.289824
alun,2019,spring,22.569283
alun,2019,summer,24.472158
alun,2020,spring,29.585176
alvaro (álvaro fernández),2022,spring,24.388363000000002
alvaro (álvaro fernández),2022,summer,19.612807999999998
alvaro (álvaro fernández),2023,spring,23.504976
alvingo,2023,spring,21.816433
amazing (maurice stückenschneider),2015,summer,15.307342000000002
amazing (maurice stückenschneider),2016,spring,22.104778
amazing (maurice stückenschneider),2016,summer,17.167791
amazing (maurice stückenschneider),2017,spring,15.552044
amazing (maurice stückenschneider),2018,summer,18.900118
amazing (maurice stückenschneider),2019,summer,20.307356
amazingj,2015,spring,23.612831
amazingj,2015,summer,24.654911
amazingj,2016,spring,25.57181
amazingj,2016,summer,22.976957000000002
amazingj,2017,spring,24.241095
amazingj,2017,summer,18.527391
amazingj,2018,spring,27.150596999999998
amazingj,2018,summer,23.724327
amazingj,2019,spring,24.96509
amazingj,2019,summer,27.908196999999998
ambition,2016,spring,16.811892
ambition,2016,summer,17.411129000000003
ambition,2017,spring,15.389847
ambition,2017,summer,17.266583999999998
ambition,2018,spring,15.850886
ambition,2018,summer,19.989561
amel,2016,spring,23.129488000000002
amel,2016,summer,20.577682
ami,2017,spring,19.892729
aming,2018,spring,19.512367
anda,2016,spring,18.664386999999998
anda,2016,summer,19.675537
anda,2018,spring,23.598654
anda,2019,spring,23.100317
anda,2019,summer,25.211261999999998
anda,2020,summer,19.92667
andariel,2021,summer,23.244425
andariel,2022,summer,18.908522
andariel,2023,spring,19.469278
andil,2021,spring,18.129421
andy (zhang jie),2018,summer,15.375304000000002
andy (zhang jie),2019,spring,21.544168
andy (zhang jie),2019,summer,18.570082
andy (zhang jie),2020,spring,22.094215
andy (zhang jie),2020,summer,20.02368
andybendy,2018,spring,19.943293
anechek,2018,summer,19.383263
anechek,2019,summer,23.2272
ang (octav cretu),2018,spring,15.900545999999999
angel (xiang tao),2018,spring,23.409945999999998
angel (xiang tao),2018,summer,25.789179
angel (xiang tao),2019,spring,29.00971
angel (xiang tao),2019,summer,25.765311999999998
angel (xiang tao),2020,spring,27.217194
angel (xiang tao),2020,summer,26.456076
angel (xiang tao),2021,spring,22.957981
angel (xiang tao),2021,summer,22.932389999999998
angel (xiang tao),2022,spring,27.216438
angel (xiang tao),2023,spring,29.119411
angles,2019,summer,13.815697
ann,2018,summer,26.796129999999998
annyeong,2021,spring,21.516895
anonymouss,2022,spring,18.44656
anran9,2020,spring,24.582628
anthrax,2018,spring,19.987928
anthrax,2019,spring,20.329107
anthrax,2019,summer,13.674629000000001
anthrax,2020,spring,14.338306
anthrax,2020,summer,20.803720000000002
anthrax,2021,spring,22.817678
antik,2023,spring,20.746431
aod,2017,spring,22.806581
aod,2018,spring,16.481379999999998
aod,2019,spring,20.791792
aod,2019,summer,26.706716999999998
aod,2020,spring,23.737787
aod,2021,spring,27.169458000000002
aod,2021,summer,26.142982
aod,2023,spring,24.407830999999998
aodi,2017,summer,22.935112
aodi,2018,spring,21.531092
aodi,2018,summer,25.098377
aodi,2019,spring,24.150803
aodi,2019,summer,21.847431
aodi,2020,spring,22.724854999999998
aodi,2020,summer,21.366009
aodi,2021,spring,25.313597
aodi,2021,summer,25.478281
aoi haru,2018,spring,19.94507
aoi haru,2018,summer,23.308819
apa (eain stearns),2023,spring,21.186338
aphromoo,2015,spring,15.130639000000002
aphromoo,2016,spring,14.958879999999999
aphromoo,2016,summer,18.751657
aphromoo,2017,spring,20.92246
aphromoo,2018,spring,21.435297
